Zone,Circle_Name,Division_Name,SubStation_Name,Feeder_Name,newMeterNumber,3/1/2026,3/2/2026,3/3/2026,3/4/2026,3/5/2026,3/6/2026,3/7/2026,3/8/2026,3/9/2026,3/10/2026,3/11/2026,3/12/2026,3/13/2026,3/14/2026,3/15/2026,3/16/2026,3/17/2026,3/18/2026,3/19/2026,3/20/2026,3/21/2026,3/22/2026,3/23/2026,3/24/2026,3/25/2026,3/26/2026,3/27/2026,3/28/2026,3/29/2026,3/30/2026,3/31/2026,4/1/2026,4/2/2026,4/3/2026,4/4/2026,4/5/2026,4/6/2026,4/7/2026,4/8/2026,4/9/2026,4/10/2026,4/11/2026,4/12/2026,4/13/2026,4/14/2026,Avg_Duration_Per_Day
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV MANJHANPUR,WORLD BANK-M,SC10292824,20.5,23.5,21,21.5,24,22.5,19.5,19.5,20.5,21.5,21,20,19,19.5,20.5,19.5,21,20,21,19.5,18,18,19.5,19.5,20,19.5,18.5,20,19,19.5,18,19.5,15,18.5,18.5,19,17,18.5,19,15,18,18.5,18.5,19,18,19.47777778
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KARELABAGH,33/11 KV KARELI 2,AZAD NAGAR 2,SC10292834,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,24,24,22,24,23.5,24,24,23,23.5,23.5,24,24,24,24,24,23.85555556
MIRZAPUR,EDC-MIRZAPUR,"EDD KACHCHAWA,MIRZAPUR",33/11 KV BARAUDHA,BARAUDHA,SC10292911,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.5,17.5,16,16.5,20,14.5,20,21.5,20.5,14,20,18,17
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV DHARORAH,NAI BAZAR,SC10292957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VARANASI,EUDC I VARANASI,"EUDD CHAUKAGHAT, VARANASI",33/11 KV NAGAR NIGAM,AURANGABAD,SC10293014,24,24,24,24,23.5,23.5,24,24,23.5,24,24,24,24,24,24,24,24,22,24,24,17.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,19,24,24,24,24,24,24,19,23.54444444
PRAYAGRAJ,EDC II PRAYAGRAJ,EDD FAFAMAU,33/11 KV SORAON,JUDA DANDUPUR,SC10349437,13.5,13.5,12.5,14,12,11.5,14,17.5,22,23,22.5,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,23.5,24,24,24,23,24,24,23.5,24,24,23.5,13.5,0,0,0,0,0,19.07777778
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV KAUHAT,SUJANI,SC10349629,21,21,20.5,19,24,20.5,null,21,24,null,20.5,21,22.5,21,null,21,21,21,21,21,20.5,23.5,20.5,21,20.5,20.5,21,20.5,21,21,20,22,15.5,20.5,19,18,22.5,21,20,18.5,22.5,21.5,17,20.5,17,20.63095238
AZAMGARH,EDC BALLIA,"EDD BAIRIYA,BALLIA",33/11 KV BARRIA GRAMIN,Biariya,HP9000475,24,20.5,13,22,24,19,18.5,22,18.5,22,23.5,22.5,22.5,20,19.5,22.5,19.5,20,21.5,16.5,18,15.5,22,18,19.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.18
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV HETAPATTI,SARAIN CHANDI,SC10349538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
AZAMGARH,EDC-MAU,EDD MAU,BADHUWAGODAM,RAIKWAREDIH,SC10293463,19,21,19.5,21,23.5,19,19,20.5,19,19.5,19.5,19.5,19,19.5,20,21,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.5,19.77777778
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33/11 KV TIWARI TALAB,MOIN UDDINPUR,HP8500147,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,16.5,22.5,22,22.5,23.5,16.5,24,24,24,24,24,23.5,23.5,24,23.5,24,24,24,23.5
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD MEOHALL,33/11 KV CIVIL LINES,11 KV O/G HANUMAN MANDIR,HP8500359,24,24,10.5,24,24,24,24,24,24,24,24,20.5,23.5,24,24,24,22.5,1,9.5,24,22,24,24,24,23.5,24,24,23.5,24,24,24,24,20.5,24,23.5,23.5,24,24,24,22.5,24,24,24,24,24,22.54444444
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33 /11 KV Dala,Chopan B,HP8500656,24,24,23.5,24,24,24,24,23.5,24,24,24,24,22.5,24,24,24,24,24,23.5,null,24,10,24,24,24,24,24,24,23.5,24,24,24,24,24,23.5,23.5,24,24,24,24,21,24,24,24,24,23.51136364
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV RAMPUR,PIPRAON,HP8500849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV TELIYARGANJ,11 KV INDUSTRIAL,HP8500899,23.5,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,24,23,24,24,24,24,24,24,24,24,24,24,24,22,24,22,23,23,24,23.5,24,24,24,24,24,24,23.79545455
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV HUSAINGANJ,CHIULAHA,HP8500999,17.5,18,18.5,20.5,24,20,17,16.5,18,18,18,18,16.5,19,null,18.5,18.5,18.5,null,17.5,16.5,13.5,19.5,16,19,18.5,18,18.5,18,18,18,18,11.5,18.5,17.5,16.5,13,18.5,16.5,18,18,18.5,16,17,17,17.68604651
AZAMGARH,EDC II AZAMGARH,"EDD KAPTANGANJ,AZAMGARH",33/11 KV ATRAULIYA,EAST,HP9000497,21.5,18.5,18.5,19,24,18.5,19.5,19,18.5,21,null,19.5,18,17,19,14,19,19,17,18.5,17.5,17.5,19,18.5,18.5,18.5,18.5,18,18.5,18.5,17.5,17.5,19,17.5,null,17,12.5,18,18.5,14,19,15.5,17.5,18,16,18.12790698
VARANASI,EUDC II VARANASI,"EUDD MACHCHODARI, VARANASI",33/11 KV TOWN HALL,BHARTENDU,HP9000742,24,24,24,24,24,24,24,24,24,24,24,24,24,18.5,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,23.5,24,24,24,24,24,24,24,24,24,23.85227273
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,132/33/11 KV ZAMANIA SUBSTATION,ZAMANIYA RLY STATION,HP9000752,19,22.5,22.5,24,24,23,23,24,22,24,22,23.5,23,21,22,23.5,21.5,22,22,19.5,22,23,20,22,22.5,22.5,23,22,21,23,22.5,19,22,20.5,null,22,19,22.5,18.5,22.5,23,23,21,19.5,22,21.95454545
PRAYAGRAJ,EDC PRATAPGARH,EDD LALGANJ,33/11 KV RANIGANJ AZGARA,TEJGARH,SC10292528,24,20.5,19.5,20.5,24,null,null,22,19.5,null,23,22.5,20,21.5,20.5,21,19.5,19.5,null,19.5,15.5,24,23,20,20.5,20,19.5,19.5,19,21,19.5,19.5,14,20.5,20,18,12.5,21.5,22,21.5,22.5,18.5,16,21,16,20.04878049
MIRZAPUR,EDC BHADOHI,EDD II GOPIGANJ,33/11 KV Pali,Chaksundarpur,SC10292964,23.5,20.5,18,21,24,18.5,18.5,22,18.5,23,22.5,23,21.5,20.5,null,19.5,19.5,19,17.5,17,17.5,16,22.5,19.5,20,19.5,19.5,18,19,21.5,19,18.5,15,16,14.5,19,20.5,20.5,20,10.5,20.5,18.5,18,20.5,17.5,19.29545455
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV NEW PHAPHAMAU POWER HOUSE,STP Sector A,SC10349467,24,24,23.5,24,24,24,23,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,24,24,24,24,24,23.91111111
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD NAINI,33/11 KV NIC-2 NEW,ROCK LIGHT,SC10349526,24,24,23.5,23.5,22,24,24,24,23.5,24,24,23.5,24,24,null,24,24,24,24,23,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.875
PRAYAGRAJ,EDC II PRAYAGRAJ,EDD HANDIA,33/11 KV BARI CHAMPAPUR,ANUWA,SC10349610,23.5,18.5,19,20,24,21.5,19,23.5,19.5,22.5,23.5,21.5,21.5,20.5,20.5,22,19.5,19.5,null,20,17,23,22.5,20,20,18,null,null,null,11,8,17.5,18.5,14.5,14.5,17.5,19.5,21.5,null,null,null,null,null,null,null,19.48529412
VARANASI,EDC GHAZIPUR,EDD GHAZIPUR NAGAR,33/11 KV KUNDESAR,SHERPUR,SC10349693,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20,19.5,19,20,20,18.5,21.5,19.5,19,20,17.5,14,15.5,17.5,13.5,16,16,13,17,15,12,13.5,17.15909091
VARANASI,EDC VARANASI,"EDD BARAIPUR, VARANASI",33/11 KV DEENDASPUR,KHEMAPUR,SC10349741,24,24,24,24,24,24,24,23,24,24,24,24,23,21,24,24,21.5,24,24,24,20,22,24,22.5,21.5,24,23,24,24,23.5,23,24,23.5,24,21.5,23.5,24,24,23.5,24,24,24,24,24,24,23.46666667
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33/11 KV SHAHGANJ,KHAJURI,HP8500599,21,19,13.5,20.5,24,20,14,20.5,18.5,24,22,21.5,21,20,19.5,21,18,15.5,20.5,null,13.5,19.5,22.5,20.5,15,15.5,18,19,16.5,12,14,17,14.5,15,14.5,16,16,11,13.5,18.5,17,13,12.5,15,15,17.46590909
VARANASI,EUDC II VARANASI,"EUDD MACHCHODARI, VARANASI",33/11 KV CHOUK SUBSTATION,NILKANTH,HP9000704,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,19,24,23,24,24,24,24,24,24,24,23.5,24,24,24,15.5,24,24,23.5,null,23.5,24,24,24,24,24,24,24,24,24,23.625
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,33/11 KV DILDAR NAGAR,FULLI,HP9000791,19.5,20.5,20.5,20.5,24,20,20,21,20,20.5,21.5,22.5,21.5,21,19.5,22.5,19.5,18,20,20,20,18.5,19.5,20,21,20.5,20,20.5,15.5,20.5,20,18.5,21.5,21,null,16.5,16,17.5,18,17.5,18,16,17,17.5,17.5,19.56818182
AZAMGARH,EDC I AZAMGARH,EDD AZAMGARH,33/11 KV BHAWARNATH SUBSTATION,ATLAS TANK,HP9001159,24,23.5,24,24,24,24,24,24,24,24,null,24,24,24,24,24,23.5,18,16.5,24,22.5,23,24,22.5,24,22.5,19.5,22.5,18.5,21,15.5,16,20,24,null,23.5,23,23,21.5,22.5,24,24,23,24,21.5,22.48837209
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV KUNDA TEHSIL,BARAEE,SC10292697,22.5,22.5,22.5,23,24,22.5,22.5,24,22.5,24,24,23.5,24,22.5,22,23,22.5,22.5,21.5,22,22,24,23,22,22.5,22.5,22.5,21.5,21,22,22.5,22.5,21,22.5,22,20,20,23,22.5,23,23,23,22,23,22.5,22.51111111
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV BALAKMAU,BESARA,SC10292819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV INDI PARVAT,VEERSAHPUR,SC10292849,19.5,20.5,18.5,22,24,20,19.5,19.5,19.5,20,18.5,19.5,16.5,21,20,21.5,19.5,19,21,20,20,20,21.5,19,19.5,18.5,19.5,17,19,21,19.5,20,15.5,20.5,16.5,19,20.5,21,19,13,19,17,17.5,16.5,17,19.24444444
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV MAWAIYA,BHATOLI,SC10292878,null,20.5,18.5,22.5,24,20,19.5,20,19.5,20,19,19.5,14.5,21.5,20.5,21.5,20,19.5,21,20.5,20.5,14,21.5,20,20,20.5,19.5,16.5,19,21,18.5,19.5,16.5,20.5,16,16.5,19.5,21.5,19,15.5,19,19.5,19.5,14.5,19.5,19.30681818
VARANASI,EUDC I VARANASI,"EUDD CHETMANI, VARANASI",33/11 KV KANDAWA SUBSTATION,KANCHANPUR,SC10293122,23.5,24,24,24,24,24,23,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,23,23.5,24,24,24,24,24,24,null,24,24,22.5,23.5,23,24,23.5,24,24,24,24,24,24,23.80681818
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR",33/11 KV BAHADURGANJ,BAHADUR GANJ-I,SC10293181,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,21,19.5,19,19,20,17.5,20.5,21,20.5,17.5,14.5,16,16,16,16.5,15.5,14.5,15.5,12,13,13.5,12.5,15,14,20.5,14.5,14.5,14,13.5,15,16.16129032
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR",33/11 KV GHAZIPUR,SWATANTRA I,SC10293273,24,24,24,24,21.5,22.5,24,24,24,23.5,24,24,24,23.5,24,24,24,24,24,24,21.5,22.5,24,24,24,24,24,24,21,24,24,24,23.5,24,21.5,23.5,18.5,21.5,23.5,23.5,24,24,24,24,24,23.45555556
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV MAUKUTUBPUR,NORTH,SC10293392,19.5,22,20.5,20.5,24,19.5,19.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.311111111
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV DHANUHAN,MAMA BHANJA,SC10349383,24,24,24,24,24,24,24,24,23.5,24,24,23.5,24,20,23.5,24,21.5,24,24,23,24,24,24,24,24,24,24,23.5,22.5,22.5,24,24,22.5,21.5,23,21.5,24,24,24,24,24,24,23.5,24,24,23.54444444
PRAYAGRAJ,EDC II PRAYAGRAJ,EDD FAFAMAU,33/11 KV LALGOPALGANJ,TOWN-I,SC10349457,23.5,22,20.5,21.5,24,22.5,22.5,24,22,24,24,22.5,22.5,22,22,19.5,22.5,22,22.5,22.5,20,24,null,null,null,null,null,null,22.5,22,22,22.5,14,22,22,20.5,22,23.5,22,22,23,23.5,14,21,22,21.87179487
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV TELIYARGANJ,11 KV SHANKAR GHAT,SC10349474,24,24,23.5,23,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,21.5,24,24,23.5,24,24,24,24,null,null,null,null,null,23.85
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV BARI BAHADURPUR (UMARI),SEMRA,SC10349519,17,20.5,19.5,22.5,21.5,18,19.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.244444444
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD RAMBAGH,33/11 KV DARAGANJ,DARAGANJ,HP8500293,24,24,23.5,23.5,24,24,24,24,23.5,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,23,22.5,23.5,24,24,24,23,24,24,24,24,24,24,24,24,23,24,24,24,23.81111111
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD RAMBAGH,33/11 KV RAMBAGH,BAI KA BAGH,HP8500389,24,24,24,23.5,24,24,24,24,24,24,24,null,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,22.5,24,22,24,24,24,24,24,24,24,24,23.875
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV GOPSASA,MAHILA,HP8500483,17.5,18,17,19,24,18.5,18.5,18.5,19,18,17.5,18,16.5,18,18,20,18.5,18.5,19,18,19,24,19,19,18.5,18.5,16.5,16,17.5,16,16,17.5,11.5,16,16,15.5,11,17,14.5,13,17.5,16,15.5,17,16.5,17.43333333
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33/11 KV Chatarwar,Jal Nigam,HP8500634,17,20,19,17.5,21.5,19,19.5,19,16.5,14.5,11.5,17,13.5,12.5,20,19.5,18.5,21,20.5,20.5,20,10,16,14,17,16,17.5,20,20.5,20.5,16,17,19,16.5,10.5,10.5,16,22,17.5,18.5,22.5,22,21,20,18.5,17.71111111
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",BAKEWAR,DEOMAI,HP8500841,10.5,11.5,11.5,11,11.5,11.5,11.5,10.5,10.5,12.5,11.5,12,11.5,11,12.5,11,11,13,11,null,9.5,11,11,10,10.5,8.5,11,10.5,11.5,11.5,12,12,12.5,11.5,10,13,14,11.5,11,8,10,11.5,10,12.5,13.5,11.25
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV BHEERPUR,MENDARA,HP8500901,21.5,21,20.5,21.5,24,20.5,20,23.5,21,22,23,24,24,20.5,21.5,22.5,21,20.5,20,21,18,14.5,21,20,20.5,21.5,21,17,20.5,21.5,20,19,14,20,19,16,20.5,20.5,21.5,18.5,18.5,18.5,16,22,20.5,20.3
VARANASI,EUDC II VARANASI,"EUDD SARNATH, VARANASI",33/11 KV NEW DAULATPUR,RAMAREPUR,HP9000269,24,24,24,24,24,24,23.5,24,24,24,null,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,23.5,null,23.5,24,24,24,24,24,24,24,24,24,23.94186047
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,132/33/11 KV SADAT,BARHAT,HP9000274,19,18.5,19,19.5,24,18,18.5,18.5,19,19,18.5,18,19,17.5,19,18.5,18.5,19,19,18.5,19,21.5,19,19,19,19,19,18.5,18,19,19,18.5,18,18,null,17.5,16.5,18,18,18,16.5,16,16,16.5,16,18.45454545
AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,33/11 KV MUKHYALAY SUDHNIPUR,KANERI,HP9000332,21,18,22.5,23.5,24,20.5,19,21.5,20,19,20,22,22,20.5,19,19.5,21,20.5,19,18.5,19.5,24,20,20.5,19.5,19,19,18.5,18,17.5,20.5,20,19.5,18.5,null,16.5,13.5,16.5,16,17.5,18,17.5,17,17,15.5,19.31818182
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV SARDAHA,GOPALPUR,HP9000415,20,21,21,20.5,24,19,18.5,24,19,20,20.5,22,19,20.5,20.5,22,20,19.5,20,20,19.5,18.5,23.5,21,19.5,20,20,20.5,20,20.5,19,19,20,17,16,null,10,18,14,20.5,15.5,15.5,14,15.5,14.5,19.14772727
VARANASI,EDC II JAUNPUR,"EDD BADALAPUR,JAUNPUR",33/11 KV SIKRARA,KAKOHIYA II,HP9000651,23.5,19.5,19.5,21,24,18.5,18,23.5,20,24,24,24,24,21,21,20,19,19.5,20.5,18,17,21,22,18.5,19.5,19.5,19.5,21,19,21.5,18.5,20.5,18.5,19.5,9,null,14.5,21,19,19.5,19,18,17,19.5,18.5,19.84090909
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV BARDAH,RAJA GANJ,HP9000875,19.5,21,20,21,24,18.5,19.5,24,19.5,20,21,18.5,20.5,18.5,21,21,21,21,20,19.5,20,19,23,20,19.5,21,20,20.5,19.5,20.5,18,20.5,17.5,16,null,15,10.5,16,12.5,19,15.5,15.5,12.5,14,13,18.80681818
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV BABURI,BAJHAN,HP9000991,23.5,20.5,19,22,24,18.5,18,22,19.5,21.5,22,21.5,21.5,23,22,20.5,19.5,18.5,21,18.5,17.5,15.5,18.5,19.5,20,19.5,18,15.5,18,19.5,18.5,16,15.5,14.5,null,13.5,16.5,null,15,14,14,14,13.5,12.5,12,18.31395349
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV JALALPUR (KANTA),JALALPUR FDR,HP9001046,22,20.5,18.5,22,24,19.5,19,21.5,19.5,21,21.5,22,21,22,22.5,21.5,19,19.5,21,19,20,17,19.5,19.5,20,19.5,18,16.5,18,17,15,14.5,15.5,15.5,null,15,17.5,16,17,16,15,16,13.5,14.5,14.5,18.56818182
PRAYAGRAJ,EDC PRATAPGARH,EDD PRATAPGARH,33/11 KV DAHILAMAU,PURE ISHWARNATH,SC10292715,24,24,23.5,23.5,24,24,24,24,24,24,24,24,24,23.5,24,24,23.5,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,23.92222222
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV  GHATMAPUR,AFJALPURWARI PTW,SC10292809,10.5,10,10.5,10.5,7.5,8,10,10,9,10.5,10.5,10,10,10,10.5,9,10.5,6,10,10.5,8.5,7.5,10,10.5,10,10.5,9.5,9,7.5,8.5,10,10,7.5,10,10,10,8,9,9.5,7.5,10,7,7,8,7.5,9.244444444
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV DPH,TOWN-III,SC10293048,23.5,24,24,24,24,23.5,24,null,24,24,null,24,24,24,24,24,23,23,22.5,22.5,24,22.5,24,24,19,24,24,24,21.5,22,24,23.5,24,24,24,23.5,23,24,24,24,24,24,23,24,24,23.53488372
VARANASI,EDC GHAZIPUR,EDD GHAZIPUR NAGAR,33/11 KV MOHAMDABAD,HATA,SC10293215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18.5,19.5,19.5,14.5,20,19,21.5,19.5,20.5,19.5,13.5,8.5,12,9,15.5,16,19,13.5,14.5,13,12.5,13,16
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR",PARA,BHALA,SC10293243,20.5,19,20,20,24,18.5,17.5,20,19,19.5,19.5,null,null,null,null,null,null,null,null,null,null,null,null,18.5,17,17.5,18,17,15,17.5,17.5,17,17.5,15.5,15.5,13.5,9,16,16,15.5,17,16,14.5,16,17,17.31818182
VARANASI,EDC-CHANDAULI,EDD MUGALSARAI,33/11 KV SINGHITALL SUBSTATION,TOWN 3,SC10293283,24,24,24,24,24,24,24,24,24,24,24,24,22.5,24,22,24,23.5,24,24,24,24,23,24,23,24,24,24,24,24,24,24,24,24,24,23,23.5,23,24,23.5,24,24,24,24,24,24,23.8
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV SIKANDRA,TEJPUR,SC10349506,null,null,null,null,24,19.5,19,21,19.5,22,23.5,22,22.5,19.5,20,22,19.5,19,20,null,20.5,24,22.5,20.5,19.5,20.5,19,19,18.5,20,19.5,19,13.5,17,17,17.5,16.5,22,20,21.5,21.5,18.5,16.5,19.5,20,19.9125
VARANASI,EDC II JAUNPUR,EDD MACHHLISHAHAR,33/11 KV MACHHALISHAHAR,MUSTFABAD,SC10349843,22.5,19.5,19,22,24,19.5,19.5,22.5,19.5,20.5,21.5,21.5,22.5,22,22.5,21.5,20,20,21.5,19.5,19,24,21.5,20,20.5,20,20,20,19.5,21,19.5,20,18,20.5,18.5,17.5,16,20,19,21.5,22,22,17,17.5,15,20.23333333
VARANASI,EDC VARANASI,"EDD BARAIPUR, VARANASI",33/11 KV SEWAPURI,SAKALPUR (R),SC10349854,23.5,23,24,23,24,23.5,24,22.5,24,21.5,19.5,23.5,24,23,23.5,24,24,23.5,23.5,22.5,23.5,16.5,23,22.5,23,23,23,21.5,23.5,23.5,23,24,18.5,24,21,null,21.5,22,22.5,24,22,21.5,20.5,24,24,22.71590909
AZAMGARH,EDC BALLIA,"EDD RASARA,BALLIA",33/11KV PASHUHARI,Chrauva Kaheshar,HP9000856,24,18.5,19.5,21,24,18.5,19,22,19,24,null,23.5,24,22,21.5,21,19.5,18,19,19,18,14,23,20,20.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.52083333
PRAYAGRAJ,EDC PRATAPGARH,EDD LALGANJ,33/11 KV RAMPUR,BELHA,HP8500239,21,13.5,20.5,21,24,20,19.5,24,19.5,22.5,20,21,19,20.5,20.5,22,20.5,19,21,20,17.5,14,23,21.5,18,20.5,null,20,19.5,20.5,19.5,20,13,19.5,19,17.5,13.5,20,18.5,21,21,19,15.5,20,17,19.48863636
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD MEOHALL,33/11 KV CIVIL LINES,11 KV O/G GRACE INFRA VENTURE,HP8500270,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,24,24,24,23.95555556
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33/11 KV Chatarwar,Jal Nigam 1,HP8500635,22,23,22.5,22.5,24,22.5,22.5,23.5,20.5,22.5,24,23,19,18,22.5,23.5,22.5,22,22.5,22.5,22.5,11,23.5,22.5,22.5,22.5,22.5,22.5,22.5,23.5,22.5,22.5,22.5,21.5,17,22.5,23,23,23,23.5,23.5,23.5,22.5,23.5,22,22.14444444
MIRZAPUR,EDC BHADOHI,EDD II GOPIGANJ,33/11 KV Khamariya-I,Sahesepur,HP8500964,22,20.5,19.5,20.5,23.5,20,19,22.5,18,24,23,22.5,20.5,18.5,19.5,21,19.5,19,19.5,19.5,19,17,22.5,20.5,19.5,20,20,18.5,19,20.5,19,21,16.5,19.5,17,19.5,21.5,19.5,19.5,19.5,18,20.5,19.5,20.5,19.5,19.97777778
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV KARSARA,CHUTAHARA,HP9000122,18,21.5,19,21,24,20,19.5,19,18,20.5,19,19,17.5,21,18.5,21.5,19,20,19,19.5,18.5,20,22,19.5,19.5,18,19,19,18.5,20.5,20,18,17,19.5,null,17,17,19,19.5,null,18.5,15.5,13.5,18.5,15.5,19.01162791
AZAMGARH,EDC BALLIA,EDD III BANSDIH,33/11 KV MANIYAR SUBSTATION,SULTANPUR,HP9000141,23.5,22.5,21.5,23,24,22.5,17.5,18,22.5,16.5,18,24,21,14,12,23.5,22.5,21.5,22,22.5,20.5,22.5,23.5,22.5,22.5,22.5,14.5,20.5,8.5,18,22.5,18.5,20.5,17.5,null,16.5,14,17.5,18.5,16,17,15.5,16.5,16,17,19.35227273
